Entity,Year,Other Renewables,Hydroelectric,Oil,Gas,Coal
Asia,1985,0.0,343.2253,464.66388,345.53317,654.89886
Asia,1986,0.0,345.83762,467.65207,369.96634,724.5383
Asia,1987,0.0,358.31186,485.15662,397.68027,804.49884
Asia,1988,0.0,411.7138,530.07983,423.47736,860.65796
Asia,1989,0.0,421.20538,562.5474,467.8778,936.6007
Asia,1990,0.0,444.1206,629.2042,507.2951,986.32294
Asia,1991,0.0,449.01508,629.809,528.44446,1087.4814
Asia,1992,0.0,452.27505,653.856,555.49243,1195.3323
Asia,1993,0.0,502.67566,633.4178,576.17413,1260.8961
Asia,1994,0.0,498.8318,683.142,617.6556,1401.4247
Asia,1995,0.0,538.50226,674.5145,660.9509,1505.7832
Asia,1996,0.0,534.9226,667.3877,706.8617,1636.5305
Asia,1997,0.0,532.8262,650.7281,796.998,1722.1194
Asia,1998,0.0,564.8095,626.58435,836.9244,1781.4696
Asia,1999,0.0,550.17346,635.0116,902.9148,1923.0776
Asia,2000,17.01,565.93,619.7,930.8,2090.72
Asia,2001,16.49,612.58997,571.02,996.11993,2231.87
Asia,2002,16.71,634.02,595.15,1055.07,2437.77
Asia,2003,15.83,660.7,619.43,1135.51,2747.29
Asia,2004,16.66,775.06,616.26,1205.87,3002.12
Asia,2005,16.59,809.83997,619.21,1275.38,3329.56
Asia,2006,17.23,886.60004,590.9,1369.68,3692.3
Asia,2007,17.41,926.58,610.77997,1480.76,4139.57
Asia,2008,19.2,1058.2101,603.93,1547.63,4263.8
Asia,2009,20.15,1026.99,535.75,1625.25,4504.15
Asia,2010,20.16,1186.45,564.66,1796.51,4910.12
Asia,2011,20.31,1195.05,672.33997,1863.96,5448.16
Asia,2012,21.06,1373.53,708.51,1984.96,5669.86
Asia,2013,20.87,1460.7,683.09,2010.23,6095.08
Asia,2014,23.220001,1595.5399,628.95,2175.4,6357.95
Asia,2015,25.02,1665.55,613.2,2220.43,6274.1997
Asia,2016,27.05,1725.0801,589.93,2350.57,6503.8003
Asia,2017,29.95,1769.8,556.58997,2477.95,6882.26
Asia,2018,32.69,1821.27,483.54,2540.2,7374.7
Asia,2019,34.22,1938.36,443.15,2523.0898,7495.79
Asia,2020,36.82,1989.71,425.22,2545.49,7463.79
Asia,2021,38.06,1940.84,458.37,2675.92,8030.6704
Asia,2022,0.0,1997.4298,441.76462,2665.8298,8203.587
China,1985,0.0,92.38756,56.685,0.972,260.64545
China,1986,0.0,94.548645,53.678,1.693,299.61035
China,1987,0.0,100.02428,54.644,2.737,339.86172
China,1988,0.0,109.16802,60.336,2.053,373.65298
China,1989,0.0,118.40898,57.632,3.709,405.06003
China,1990,0.0,126.74397,50.366,2.771,441.251
China,1991,0.0,124.68895,51.923,2.429,498.43396
China,1992,0.0,130.68608,53.21,2.467,567.3296
China,1993,0.0,151.84616,65.454,3.124,589.22845
China,1994,0.0,167.42897,48.199,3.154,693.4084
China,1995,0.0,190.58,55.094,2.999,741.8859
China,1996,0.0,187.97,50.351,2.828,824.1841
China,1997,0.0,195.98,47.115,8.077,867.0265
China,1998,0.0,198.89,53.392,6.092,891.67413
China,1999,0.0,196.58,50.261,4.813,969.68445
China,2000,0.0,222.41,47.27,5.77,1060.26
China,2001,0.0,277.43,48.52,4.93,1129.14
China,2002,0.0,287.97,50.71,4.19,1282.57
China,2003,0.0,283.68,54.83,5.16,1519.97
China,2004,0.0,353.54,65.53,7.46,1722.42
China,2005,0.0,397.02,50.51,12.14,1980.15
China,2006,0.0,435.79,37.92,23.82,2302.42
China,2007,0.0,485.26,28.09,33.91,2656.7
China,2008,0.0,636.96,18.81,34.57,2708.91
China,2009,0.0,615.64,12.12,56.56,2911.52
China,2010,0.0,711.38,34.71,77.73,3233.6
China,2011,0.0,688.04,33.8,108.77,3690.87
China,2012,0.0,862.79,31.22,110.25,3748.19
China,2013,0.0,909.61,33.0,116.39,4077.37
China,2014,0.0,1059.69,35.66,133.28,4203.06
China,2015,0.0,1114.52,36.46,166.91,4046.17
China,2016,0.0,1153.27,52.56,188.28,4156.35
China,2017,0.0,1165.06,56.05,203.2,4430.03
China,2018,0.0,1198.89,56.4,215.5,4763.92
China,2019,0.0,1272.54,52.47,232.5,4855.19
China,2020,0.0,1321.71,53.47,252.5,4921.96
